file,class,method,variable,usage
/Users/andersonnogueira/git/testsmellscases/testsmellscases/src/test/java/br/ufba/aries/testsmellscases/ConditionalVerificationLogicTest.java,br.ufba.aries.testsmellscases.ConditionalVerificationLogicTest,testCVLT/0,actual,0
/Users/andersonnogueira/git/testsmellscases/testsmellscases/src/test/java/br/ufba/aries/testsmellscases/ConditionalVerificationLogicTest.java,br.ufba.aries.testsmellscases.ConditionalVerificationLogicTest,testCVLT/0,i,2
/Users/andersonnogueira/git/testsmellscases/testsmellscases/src/test/java/br/ufba/aries/testsmellscases/ConditionalVerificationLogicTest.java,br.ufba.aries.testsmellscases.ConditionalVerificationLogicTest,testCVLT/0,flightDto,3
/Users/andersonnogueira/git/testsmellscases/testsmellscases/src/main/java/br/ufba/aries/testsmellscases/suport/Calculator.java,br.ufba.aries.testsmellscases.suport.Calculator,"calculate/2[int,int]",i,0
/Users/andersonnogueira/git/testsmellscases/testsmellscases/src/main/java/br/ufba/aries/testsmellscases/suport/Calculator.java,br.ufba.aries.testsmellscases.suport.Calculator,"calculate/2[int,int]",j,0
/Users/andersonnogueira/git/testsmellscases/testsmellscases/src/test/java/br/ufba/aries/testsmellscases/MultipleTestConditionsTest.java,br.ufba.aries.testsmellscases.MultipleTestConditionsTest,message/1[int],i,1
/Users/andersonnogueira/git/testsmellscases/testsmellscases/src/test/java/br/ufba/aries/testsmellscases/MultipleTestConditionsTest.java,br.ufba.aries.testsmellscases.MultipleTestConditionsTest,testMultipleValueSets/0,actual,1
/Users/andersonnogueira/git/testsmellscases/testsmellscases/src/test/java/br/ufba/aries/testsmellscases/MultipleTestConditionsTest.java,br.ufba.aries.testsmellscases.MultipleTestConditionsTest,testMultipleValueSets/0,sut,1
/Users/andersonnogueira/git/testsmellscases/testsmellscases/src/test/java/br/ufba/aries/testsmellscases/MultipleTestConditionsTest.java,br.ufba.aries.testsmellscases.MultipleTestConditionsTest,testMultipleValueSets/0,values,3
/Users/andersonnogueira/git/testsmellscases/testsmellscases/src/test/java/br/ufba/aries/testsmellscases/MultipleTestConditionsTest.java,br.ufba.aries.testsmellscases.MultipleTestConditionsTest,testMultipleValueSets/0,i,4
/Users/andersonnogueira/git/testsmellscases/testsmellscases/src/test/java/br/ufba/aries/testsmellscases/MultipleTestConditionsTest.java,br.ufba.aries.testsmellscases.MultipleTestConditionsTest,testMultipleValueSets/0,testValues,2
/Users/andersonnogueira/git/testsmellscases/testsmellscases/src/main/java/br/ufba/aries/testsmellscases/App.java,br.ufba.aries.testsmellscases.App,main/1[java.lang.String[]],args,0
/Users/andersonnogueira/git/testsmellscases/testsmellscases/src/test/java/br/ufba/aries/testsmellscases/FlexibleTest.java,br.ufba.aries.testsmellscases.FlexibleTest,testDisplayCurrentTime_whenever/0,result,1
/Users/andersonnogueira/git/testsmellscases/testsmellscases/src/test/java/br/ufba/aries/testsmellscases/FlexibleTest.java,br.ufba.aries.testsmellscases.FlexibleTest,testDisplayCurrentTime_whenever/0,expectedTime,6
/Users/andersonnogueira/git/testsmellscases/testsmellscases/src/test/java/br/ufba/aries/testsmellscases/FlexibleTest.java,br.ufba.aries.testsmellscases.FlexibleTest,testDisplayCurrentTime_whenever/0,sut,1
/Users/andersonnogueira/git/testsmellscases/testsmellscases/src/test/java/br/ufba/aries/testsmellscases/FlexibleTest.java,br.ufba.aries.testsmellscases.FlexibleTest,testDisplayCurrentTime_whenever/0,time,5
/Users/andersonnogueira/git/testsmellscases/testsmellscases/src/test/java/br/ufba/aries/testsmellscases/FlexibleTest.java,br.ufba.aries.testsmellscases.FlexibleTest,testDisplayCurrentTime_whenever/0,fr,1
/Users/andersonnogueira/git/testsmellscases/testsmellscases/src/test/java/br/ufba/aries/testsmellscases/AppTest.java,br.ufba.aries.testsmellscases.AppTest,AppTest/1[java.lang.String],testName,1
/Users/andersonnogueira/git/testsmellscases/testsmellscases/src/main/java/br/ufba/aries/testsmellscases/suport/Facade.java,br.ufba.aries.testsmellscases.suport.Facade,removeFlight/1[java.lang.Object],flightNumber,0
/Users/andersonnogueira/git/testsmellscases/testsmellscases/src/main/java/br/ufba/aries/testsmellscases/suport/Facade.java,br.ufba.aries.testsmellscases.suport.Facade,removeAirport/1[java.math.BigDecimal],inboundAirport,0
/Users/andersonnogueira/git/testsmellscases/testsmellscases/src/main/java/br/ufba/aries/testsmellscases/suport/Facade.java,br.ufba.aries.testsmellscases.suport.Facade,getFlightsByOriginAirport/1[java.math.BigDecimal],inboundAirport,0
/Users/andersonnogueira/git/testsmellscases/testsmellscases/src/test/java/br/ufba/aries/testsmellscases/ProductionLogicTest.java,br.ufba.aries.testsmellscases.ProductionLogicTest,"message/2[int,int]",i,1
/Users/andersonnogueira/git/testsmellscases/testsmellscases/src/test/java/br/ufba/aries/testsmellscases/ProductionLogicTest.java,br.ufba.aries.testsmellscases.ProductionLogicTest,"message/2[int,int]",j,1
/Users/andersonnogueira/git/testsmellscases/testsmellscases/src/test/java/br/ufba/aries/testsmellscases/ProductionLogicTest.java,br.ufba.aries.testsmellscases.ProductionLogicTest,testCombinationsOfInputValues/0,actual,1
/Users/andersonnogueira/git/testsmellscases/testsmellscases/src/test/java/br/ufba/aries/testsmellscases/ProductionLogicTest.java,br.ufba.aries.testsmellscases.ProductionLogicTest,testCombinationsOfInputValues/0,sut,1
/Users/andersonnogueira/git/testsmellscases/testsmellscases/src/test/java/br/ufba/aries/testsmellscases/ProductionLogicTest.java,br.ufba.aries.testsmellscases.ProductionLogicTest,testCombinationsOfInputValues/0,expected,3
/Users/andersonnogueira/git/testsmellscases/testsmellscases/src/test/java/br/ufba/aries/testsmellscases/ProductionLogicTest.java,br.ufba.aries.testsmellscases.ProductionLogicTest,testCombinationsOfInputValues/0,i,6
/Users/andersonnogueira/git/testsmellscases/testsmellscases/src/test/java/br/ufba/aries/testsmellscases/ProductionLogicTest.java,br.ufba.aries.testsmellscases.ProductionLogicTest,testCombinationsOfInputValues/0,j,6
/Users/andersonnogueira/git/testsmellscases/testsmellscases/src/main/java/br/ufba/aries/testsmellscases/suport/TestValues.java,br.ufba.aries.testsmellscases.suport.TestValues,"TestValues/3[int,int,int]",i,0
/Users/andersonnogueira/git/testsmellscases/testsmellscases/src/main/java/br/ufba/aries/testsmellscases/suport/TestValues.java,br.ufba.aries.testsmellscases.suport.TestValues,"TestValues/3[int,int,int]",j,0
/Users/andersonnogueira/git/testsmellscases/testsmellscases/src/main/java/br/ufba/aries/testsmellscases/suport/TestValues.java,br.ufba.aries.testsmellscases.suport.TestValues,"TestValues/3[int,int,int]",k,0
/Users/andersonnogueira/git/testsmellscases/testsmellscases/src/test/java/br/ufba/aries/testsmellscases/ComplexTeardownTest.java,br.ufba.aries.testsmellscases.ComplexTeardownTest,createTestAirport/1[java.lang.String],string,0
/Users/andersonnogueira/git/testsmellscases/testsmellscases/src/test/java/br/ufba/aries/testsmellscases/ComplexTeardownTest.java,br.ufba.aries.testsmellscases.ComplexTeardownTest,"createTestFlight/2[java.math.BigDecimal,java.math.BigDecimal]",inboundAirport,0
/Users/andersonnogueira/git/testsmellscases/testsmellscases/src/test/java/br/ufba/aries/testsmellscases/ComplexTeardownTest.java,br.ufba.aries.testsmellscases.ComplexTeardownTest,"createTestFlight/2[java.math.BigDecimal,java.math.BigDecimal]",outboundAirport,0
/Users/andersonnogueira/git/testsmellscases/testsmellscases/src/test/java/br/ufba/aries/testsmellscases/ComplexTeardownTest.java,br.ufba.aries.testsmellscases.ComplexTeardownTest,testGetFlightsByOrigin_NoInboundFlight_SMRTD/0,expFlightDto,2
/Users/andersonnogueira/git/testsmellscases/testsmellscases/src/test/java/br/ufba/aries/testsmellscases/ComplexTeardownTest.java,br.ufba.aries.testsmellscases.ComplexTeardownTest,testGetFlightsByOrigin_NoInboundFlight_SMRTD/0,inboundAirport,4
/Users/andersonnogueira/git/testsmellscases/testsmellscases/src/test/java/br/ufba/aries/testsmellscases/ComplexTeardownTest.java,br.ufba.aries.testsmellscases.ComplexTeardownTest,testGetFlightsByOrigin_NoInboundFlight_SMRTD/0,flightsAtDestination1,1
/Users/andersonnogueira/git/testsmellscases/testsmellscases/src/test/java/br/ufba/aries/testsmellscases/ComplexTeardownTest.java,br.ufba.aries.testsmellscases.ComplexTeardownTest,testGetFlightsByOrigin_NoInboundFlight_SMRTD/0,outboundAirport,2
